question,answer,category,entity,processed_question,category_encoded
How much does Tipu Sultan's Summer Palace cost?,The price range for Tipu Sultan's Summer Palace is ₹15-₹200.,place,Tipu Sultan's Summer Palace,much tipu sultans summer palace cost,1
Tell me about HAL Aerospace Museum,"HAL Aerospace Museum is a place in Bangalore. India's first aerospace museum It is located at HAL Old Airport Road; Marathahalli; Bangalore - 560037. Rating: 4.4/5. Price range: ₹30-₹50. Features: Aviation History, Aircraft Display, Interactive Exhibits. Timings: 9:00 AM - 5:00 PM",place,HAL Aerospace Museum,tell hal aerospace museum,1
Where is HAL Aerospace Museum located?,HAL Aerospace Museum is located at HAL Old Airport Road; Marathahalli; Bangalore - 560037 in Bangalore.,place,HAL Aerospace Museum,hal aerospace museum located,1
What are the timings of HAL Aerospace Museum?,The timings for HAL Aerospace Museum are 9:00 AM - 5:00 PM.,place,HAL Aerospace Museum,timings hal aerospace museum,1
How much does HAL Aerospace Museum cost?,The price range for HAL Aerospace Museum is ₹30-₹50.,place,HAL Aerospace Museum,much hal aerospace museum cost,1
Tell me about Wonder La,"Wonder La is a place in Bangalore. Amusement and water park with thrilling rides It is located at 28th Km; Mysore Road. Rating: 4.6/5. Price range: $$$. Features: Water Rides, Amusement Rides, Food Court. Timings: 10:00 AM - 7:00 PM",place,Wonder La,tell wonder la,1
Where is Wonder La located?,Wonder La is located at 28th Km; Mysore Road in Bangalore.,place,Wonder La,wonder la located,1
What are the timings of Wonder La?,The timings for Wonder La are 10:00 AM - 7:00 PM.,place,Wonder La,timings wonder la,1
How much does Wonder La cost?,The price range for Wonder La is $$$.,place,Wonder La,much wonder la cost,1
Tell me about Bannerghatta National Park,"Bannerghatta National Park is a place in Bangalore. Biological reserve with a zoo and safari park It is located at Bannerghatta Road; Bannerghatta - 560083. Rating: 4.3/5. Price range: ₹80-₹260. Features: Zoo, Safari Park, Butterfly Enclosure, Rescue Center. Timings: 9:00 AM - 5:00 PM (Closed on Tuesdays)",place,Bannerghatta National Park,tell bannerghatta national park,1
Where is Bannerghatta National Park located?,Bannerghatta National Park is located at Bannerghatta Road; Bannerghatta - 560083 in Bangalore.,place,Bannerghatta National Park,bannerghatta national park located,1
What are the timings of Bannerghatta National Park?,The timings for Bannerghatta National Park are 9:00 AM - 5:00 PM (Closed on Tuesdays).,place,Bannerghatta National Park,timings bannerghatta national park,1
How much does Bannerghatta National Park cost?,The price range for Bannerghatta National Park is ₹80-₹260.,place,Bannerghatta National Park,much bannerghatta national park cost,1
Tell me about Visvesvaraya Industrial & Technological Museum,"Visvesvaraya Industrial & Technological Museum is a place in Bangalore. Science museum with interactive exhibits It is located at Kasturba Road; Bangalore - 560001. Rating: 4.5/5. Price range: ₹40. Features: Interactive Exhibits, Technology Displays, Engineering Models. Timings: 9:30 AM - 6:00 PM",place,Visvesvaraya Industrial & Technological Museum,tell visvesvaraya industrial technological museum,1
Where is Visvesvaraya Industrial & Technological Museum located?,Visvesvaraya Industrial & Technological Museum is located at Kasturba Road; Bangalore - 560001 in Bangalore.,place,Visvesvaraya Industrial & Technological Museum,visvesvaraya industrial technological museum located,1
What are the timings of Visvesvaraya Industrial & Technological Museum?,The timings for Visvesvaraya Industrial & Technological Museum are 9:30 AM - 6:00 PM.,place,Visvesvaraya Industrial & Technological Museum,timings visvesvaraya industrial technological museum,1
How much does Visvesvaraya Industrial & Technological Museum cost?,The price range for Visvesvaraya Industrial & Technological Museum is ₹40.,place,Visvesvaraya Industrial & Technological Museum,much visvesvaraya industrial technological museum cost,1
Tell me about Innovative Film City,"Innovative Film City is a place in Bangalore. Entertainment park with film sets and attractions It is located at Off Bangalore-Mysore Highway; Bidadi; Bangalore - 562109. Rating: 4.0/5. Price range: ₹699. Features: Film Sets, Wax Museum, Dinosaur Park, Adventure Activities. Timings: 10:00 AM - 7:00 PM",place,Innovative Film City,tell innovative film city,1
Where is Innovative Film City located?,Innovative Film City is located at Off Bangalore-Mysore Highway; Bidadi; Bangalore - 562109 in Bangalore.,place,Innovative Film City,innovative film city located,1
What are the timings of Innovative Film City?,The timings for Innovative Film City are 10:00 AM - 7:00 PM.,place,Innovative Film City,timings innovative film city,1
How much does Innovative Film City cost?,The price range for Innovative Film City is ₹699.,place,Innovative Film City,much innovative film city cost,1
Tell me about Jawaharlal Nehru Planetarium,"Jawaharlal Nehru Planetarium is a place in Bangalore. Educational facility with astronomy shows It is located at Sri T. Chowdaiah Road; High Grounds; Bangalore - 560001. Rating: 4.4/5. Price range: ₹35. Features: Astronomy Shows, Science Exhibits, Educational Programs. Timings: 10:00 AM - 5:30 PM (Closed on Mondays)",place,Jawaharlal Nehru Planetarium,tell jawaharlal nehru planetarium,1
Where is Jawaharlal Nehru Planetarium located?,Jawaharlal Nehru Planetarium is located at Sri T. Chowdaiah Road; High Grounds; Bangalore - 560001 in Bangalore.,place,Jawaharlal Nehru Planetarium,jawaharlal nehru planetarium located,1
What are the timings of Jawaharlal Nehru Planetarium?,The timings for Jawaharlal Nehru Planetarium are 10:00 AM - 5:30 PM (Closed on Mondays).,place,Jawaharlal Nehru Planetarium,timings jawaharlal nehru planetarium,1
How much does Jawaharlal Nehru Planetarium cost?,The price range for Jawaharlal Nehru Planetarium is ₹35.,place,Jawaharlal Nehru Planetarium,much jawaharlal nehru planetarium cost,1
Tell me about Bangalore Aquarium,"Bangalore Aquarium is a place in Bangalore. One of India's largest freshwater aquariums It is located at Cubbon Park; Kasturba Road; Bangalore - 560001. Rating: 4.2/5. Price range: ₹25. Features: Fish Species, Educational Tours, Information Center. Timings: 10:00 AM - 5:30 PM (Closed on Mondays)",place,Bangalore Aquarium,tell bangalore aquarium,1
Where is Bangalore Aquarium located?,Bangalore Aquarium is located at Cubbon Park; Kasturba Road; Bangalore - 560001 in Bangalore.,place,Bangalore Aquarium,bangalore aquarium located,1
What are the timings of Bangalore Aquarium?,The timings for Bangalore Aquarium are 10:00 AM - 5:30 PM (Closed on Mondays).,place,Bangalore Aquarium,timings bangalore aquarium,1
How much does Bangalore Aquarium cost?,The price range for Bangalore Aquarium is ₹25.,place,Bangalore Aquarium,much bangalore aquarium cost,1
Tell me about Thottikallu Falls (TG Halli),"Thottikallu Falls (TG Halli) is a place in Bangalore. Scenic waterfall surrounded by rocky hills It is located at Kanakpura Road; Bangalore - 560082. Rating: 4.3/5. Price range: ₹20. Features: Waterfall, Rocky Hills, Greenery, Picnic Spot. Timings: 7:00 AM - 6:00 PM",place,Thottikallu Falls (TG Halli),tell thottikallu falls tg halli,1
Where is Thottikallu Falls (TG Halli) located?,Thottikallu Falls (TG Halli) is located at Kanakpura Road; Bangalore - 560082 in Bangalore.,place,Thottikallu Falls (TG Halli),thottikallu falls tg halli located,1
What are the timings of Thottikallu Falls (TG Halli)?,The timings for Thottikallu Falls (TG Halli) are 7:00 AM - 6:00 PM.,place,Thottikallu Falls (TG Halli),timings thottikallu falls tg halli,1
How much does Thottikallu Falls (TG Halli) cost?,The price range for Thottikallu Falls (TG Halli) is ₹20.,place,Thottikallu Falls (TG Halli),much thottikallu falls tg halli cost,1
Tell me about Government Museum,"Government Museum is a place in Bangalore. Archaeological museum with artifacts and sculptures It is located at Kasturba Road; Bangalore - 560001. Rating: 4.1/5. Price range: ₹10-₹100. Features: Archaeological Artifacts, Sculptures, Paintings. Timings: 10:00 AM - 5:00 PM (Closed on Mondays)",place,Government Museum,tell government museum,1
Where is Government Museum located?,Government Museum is located at Kasturba Road; Bangalore - 560001 in Bangalore.,place,Government Museum,government museum located,1
What are the timings of Government Museum?,The timings for Government Museum are 10:00 AM - 5:00 PM (Closed on Mondays).,place,Government Museum,timings government museum,1
How much does Government Museum cost?,The price range for Government Museum is ₹10-₹100.,place,Government Museum,much government museum cost,1
Tell me about Chunchi Falls,"Chunchi Falls is a place in Bangalore. Beautiful cascade waterfall on the Arkavati River It is located at Kanakapura Taluk; Bangalore Rural - 562112. Rating: 4.4/5. Price range: ₹25. Features: Waterfall, Arkavati River, Natural Beauty. Timings: 9:00 AM - 5:00 PM",place,Chunchi Falls,tell chunchi falls,1
Where is Chunchi Falls located?,Chunchi Falls is located at Kanakapura Taluk; Bangalore Rural - 562112 in Bangalore.,place,Chunchi Falls,chunchi falls located,1
What are the timings of Chunchi Falls?,The timings for Chunchi Falls are 9:00 AM - 5:00 PM.,place,Chunchi Falls,timings chunchi falls,1
How much does Chunchi Falls cost?,The price range for Chunchi Falls is ₹25.,place,Chunchi Falls,much chunchi falls cost,1
Tell me about The Leela Palace,"The Leela Palace is a hotel in Bangalore. 5-star luxury hotel with opulent interiors It is located at 23; HAL Old Airport Road; Kodihalli; Bangalore - 560008. Rating: 4.9/5. Price range: ₹15000-₹50000. Features: Swimming Pool, Spa, Multiple Restaurants, Fitness Center. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,The Leela Palace,tell leela palace,0
Where is The Leela Palace located?,The Leela Palace is located at 23; HAL Old Airport Road; Kodihalli; Bangalore - 560008 in Bangalore.,hotel,The Leela Palace,leela palace located,0
What are the timings of The Leela Palace?,The timings for The Leela Palace are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,The Leela Palace,timings leela palace,0
How much does The Leela Palace cost?,The price range for The Leela Palace is ₹15000-₹50000.,hotel,The Leela Palace,much leela palace cost,0
Tell me about ITC Windsor,"ITC Windsor is a hotel in Bangalore. Historic luxury hotel with Victorian architecture It is located at 25; Golf Course Road; Abshot Layout; Bangalore - 560052. Rating: 4.8/5. Price range: ₹12000-₹40000. Features: Fine Dining, Spa, Business Center, Fitness Studio. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,ITC Windsor,tell itc windsor,0
Where is ITC Windsor located?,ITC Windsor is located at 25; Golf Course Road; Abshot Layout; Bangalore - 560052 in Bangalore.,hotel,ITC Windsor,itc windsor located,0
What are the timings of ITC Windsor?,The timings for ITC Windsor are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,ITC Windsor,timings itc windsor,0
How much does ITC Windsor cost?,The price range for ITC Windsor is ₹12000-₹40000.,hotel,ITC Windsor,much itc windsor cost,0
Tell me about Taj MG Road,"Taj MG Road is a hotel in Bangalore. Contemporary luxury hotel in business district It is located at 41/3; Mahatma Gandhi Road; Bangalore - 560001. Rating: 4.7/5. Price range: ₹10000-₹35000. Features: Rooftop Pool, Spa, Multiple Restaurants, Fitness Center. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Taj MG Road,tell taj mg road,0
Where is Taj MG Road located?,Taj MG Road is located at 41/3; Mahatma Gandhi Road; Bangalore - 560001 in Bangalore.,hotel,Taj MG Road,taj mg road located,0
What are the timings of Taj MG Road?,The timings for Taj MG Road are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Taj MG Road,timings taj mg road,0
How much does Taj MG Road cost?,The price range for Taj MG Road is ₹10000-₹35000.,hotel,Taj MG Road,much taj mg road cost,0
Tell me about Conrad Bengaluru,"Conrad Bengaluru is a hotel in Bangalore. Modern luxury hotel with stunning city views It is located at 25/3; Kensington Road; Bengaluru; Karnataka 560008. Rating: 4.8/5. Price range: ₹14000-₹45000. Features: 24/7 Dining, Spa, Business Center, Fitness Center. Timings: Check-in: 3:00 PM; Check-out: 12:00 PM",hotel,Conrad Bengaluru,tell conrad bengaluru,0
Where is Conrad Bengaluru located?,Conrad Bengaluru is located at 25/3; Kensington Road; Bengaluru; Karnataka 560008 in Bangalore.,hotel,Conrad Bengaluru,conrad bengaluru located,0
What are the timings of Conrad Bengaluru?,The timings for Conrad Bengaluru are Check-in: 3:00 PM; Check-out: 12:00 PM.,hotel,Conrad Bengaluru,timings conrad bengaluru,0
How much does Conrad Bengaluru cost?,The price range for Conrad Bengaluru is ₹14000-₹45000.,hotel,Conrad Bengaluru,much conrad bengaluru cost,0
Tell me about JW Marriott,"JW Marriott is a hotel in Bangalore. Modern luxury hotel with state-of-the-art facilities It is located at 24/1; Vittal Mallya Road; Bangalore - 560001. Rating: 4.8/5. Price range: ₹12000-₹40000. Features: Infinity Pool, Spa, Multiple Restaurants, Fitness Center. Timings: Check-in: 3:00 PM; Check-out: 12:00 PM",hotel,JW Marriott,tell jw marriott,0
Where is JW Marriott located?,JW Marriott is located at 24/1; Vittal Mallya Road; Bangalore - 560001 in Bangalore.,hotel,JW Marriott,jw marriott located,0
What are the timings of JW Marriott?,The timings for JW Marriott are Check-in: 3:00 PM; Check-out: 12:00 PM.,hotel,JW Marriott,timings jw marriott,0
How much does JW Marriott cost?,The price range for JW Marriott is ₹12000-₹40000.,hotel,JW Marriott,much jw marriott cost,0
Tell me about Shangri-La Hotel,"Shangri-La Hotel is a hotel in Bangalore. Elegant luxury hotel offering panoramic city views It is located at No 56; Palace Road; Bangalore - 560052. Rating: 4.7/5. Price range: ₹11000-₹38000. Features: Rooftop Restaurant, Spa, Pool, Fitness Center. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Shangri-La Hotel,tell shangrila hotel,0
Where is Shangri-La Hotel located?,Shangri-La Hotel is located at No 56; Palace Road; Bangalore - 560052 in Bangalore.,hotel,Shangri-La Hotel,shangrila hotel located,0
What are the timings of Shangri-La Hotel?,The timings for Shangri-La Hotel are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Shangri-La Hotel,timings shangrila hotel,0
How much does Shangri-La Hotel cost?,The price range for Shangri-La Hotel is ₹11000-₹38000.,hotel,Shangri-La Hotel,much shangrila hotel cost,0
Tell me about The Ritz-Carlton,"The Ritz-Carlton is a hotel in Bangalore. Sophisticated luxury hotel with elegant design It is located at 99; Residency Road; Bangalore - 560025. Rating: 4.9/5. Price range: ₹14000-₹50000. Features: Luxury Spa, Fine Dining, Rooftop Bar, Fitness Center. Timings: Check-in: 3:00 PM; Check-out: 12:00 PM",hotel,The Ritz-Carlton,tell ritzcarlton,0
Where is The Ritz-Carlton located?,The Ritz-Carlton is located at 99; Residency Road; Bangalore - 560025 in Bangalore.,hotel,The Ritz-Carlton,ritzcarlton located,0
What are the timings of The Ritz-Carlton?,The timings for The Ritz-Carlton are Check-in: 3:00 PM; Check-out: 12:00 PM.,hotel,The Ritz-Carlton,timings ritzcarlton,0
How much does The Ritz-Carlton cost?,The price range for The Ritz-Carlton is ₹14000-₹50000.,hotel,The Ritz-Carlton,much ritzcarlton cost,0
Tell me about Four Seasons Hotel,"Four Seasons Hotel is a hotel in Bangalore. Luxury hotel with world-class amenities It is located at 8; Bellary Road; Bengaluru; Karnataka 560032. Rating: 4.8/5. Price range: ₹13000-₹45000. Features: Outdoor Pool, Spa, Fine Dining, Fitness Center. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Four Seasons Hotel,tell four seasons hotel,0
Where is Four Seasons Hotel located?,Four Seasons Hotel is located at 8; Bellary Road; Bengaluru; Karnataka 560032 in Bangalore.,hotel,Four Seasons Hotel,four seasons hotel located,0
What are the timings of Four Seasons Hotel?,The timings for Four Seasons Hotel are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Four Seasons Hotel,timings four seasons hotel,0
How much does Four Seasons Hotel cost?,The price range for Four Seasons Hotel is ₹13000-₹45000.,hotel,Four Seasons Hotel,much four seasons hotel cost,0
Tell me about Hilton Bangalore,"Hilton Bangalore is a hotel in Bangalore. Contemporary hotel with modern amenities It is located at Embassy Golf Links Business Park; Off Intermediate Ring Road; Bengaluru; Karnataka 560071. Rating: 4.6/5. Price range: ₹10000-₹30000. Features: Outdoor Pool, Fitness Center, Dining Options, Business Center. Timings: Check-in: 3:00 PM; Check-out: 12:00 PM",hotel,Hilton Bangalore,tell hilton bangalore,0
Where is Hilton Bangalore located?,Hilton Bangalore is located at Embassy Golf Links Business Park; Off Intermediate Ring Road; Bengaluru; Karnataka 560071 in Bangalore.,hotel,Hilton Bangalore,hilton bangalore located,0
What are the timings of Hilton Bangalore?,The timings for Hilton Bangalore are Check-in: 3:00 PM; Check-out: 12:00 PM.,hotel,Hilton Bangalore,timings hilton bangalore,0
How much does Hilton Bangalore cost?,The price range for Hilton Bangalore is ₹10000-₹30000.,hotel,Hilton Bangalore,much hilton bangalore cost,0
Tell me about Oakwood Premier,"Oakwood Premier is a hotel in Bangalore. Luxury serviced apartments with hotel amenities It is located at MG Road; Bengaluru; Karnataka 560042. Rating: 4.5/5. Price range: ₹9000-₹25000. Features: Full Kitchen, Fitness Center, Swimming Pool, Business Center. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Oakwood Premier,tell oakwood premier,0
Where is Oakwood Premier located?,Oakwood Premier is located at MG Road; Bengaluru; Karnataka 560042 in Bangalore.,hotel,Oakwood Premier,oakwood premier located,0
What are the timings of Oakwood Premier?,The timings for Oakwood Premier are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Oakwood Premier,timings oakwood premier,0
How much does Oakwood Premier cost?,The price range for Oakwood Premier is ₹9000-₹25000.,hotel,Oakwood Premier,much oakwood premier cost,0
Tell me about Radisson Blu Atria,"Radisson Blu Atria is a hotel in Bangalore. Modern luxury hotel in central business district It is located at Palace Road; Bangalore - 560001. Rating: 4.8/5. Price range: ₹7000-₹15000. Features: Restaurant, Rooftop Pool, Spa, Fitness Center, Free Wi-Fi. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Radisson Blu Atria,tell radisson blu atria,0
Where is Radisson Blu Atria located?,Radisson Blu Atria is located at Palace Road; Bangalore - 560001 in Bangalore.,hotel,Radisson Blu Atria,radisson blu atria located,0
What are the timings of Radisson Blu Atria?,The timings for Radisson Blu Atria are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Radisson Blu Atria,timings radisson blu atria,0
How much does Radisson Blu Atria cost?,The price range for Radisson Blu Atria is ₹7000-₹15000.,hotel,Radisson Blu Atria,much radisson blu atria cost,0
Tell me about Sheraton Grand Bangalore,"Sheraton Grand Bangalore is a hotel in Bangalore. Premium hotel at Brigade Gateway with city views It is located at Dr. Rajkumar Road; Malleswaram; Bangalore - 560055. Rating: 4.9/5. Price range: ₹8000-₹18000. Features: Multiple Restaurants, Infinity Pool, Spa, Fitness Center, Business Center. Timings: Check-in: 3:00 PM; Check-out: 12:00 PM",hotel,Sheraton Grand Bangalore,tell sheraton grand bangalore,0
Where is Sheraton Grand Bangalore located?,Sheraton Grand Bangalore is located at Dr. Rajkumar Road; Malleswaram; Bangalore - 560055 in Bangalore.,hotel,Sheraton Grand Bangalore,sheraton grand bangalore located,0
What are the timings of Sheraton Grand Bangalore?,The timings for Sheraton Grand Bangalore are Check-in: 3:00 PM; Check-out: 12:00 PM.,hotel,Sheraton Grand Bangalore,timings sheraton grand bangalore,0
How much does Sheraton Grand Bangalore cost?,The price range for Sheraton Grand Bangalore is ₹8000-₹18000.,hotel,Sheraton Grand Bangalore,much sheraton grand bangalore cost,0
Tell me about Four Seasons Hotel Bengaluru,"Four Seasons Hotel Bengaluru is a hotel in Bangalore. Luxury hotel with elegant rooms and premium amenities It is located at Bellary Road; Ganganagar; Bangalore - 560032. Rating: 4.9/5. Price range: ₹12000-₹30000. Features: Fine Dining, Outdoor Pool, Spa, Fitness Center, Butler Service. Timings: Check-in: 2:00 PM; Check-out: 12:00 PM",hotel,Four Seasons Hotel Bengaluru,tell four seasons hotel bengaluru,0
Where is Four Seasons Hotel Bengaluru located?,Four Seasons Hotel Bengaluru is located at Bellary Road; Ganganagar; Bangalore - 560032 in Bangalore.,hotel,Four Seasons Hotel Bengaluru,four seasons hotel bengaluru located,0
What are the timings of Four Seasons Hotel Bengaluru?,The timings for Four Seasons Hotel Bengaluru are Check-in: 2:00 PM; Check-out: 12:00 PM.,hotel,Four Seasons Hotel Bengaluru,timings four seasons hotel bengaluru,0
How much does Four Seasons Hotel Bengaluru cost?,The price range for Four Seasons Hotel Bengaluru is ₹12000-₹30000.,hotel,Four Seasons Hotel Bengaluru,much four seasons hotel bengaluru cost,0
Tell me about The Chancery Pavilion,"The Chancery Pavilion is a hotel in Bangalore. Business hotel with modern amenities It is located at Residency Road; Bangalore - 560025. Rating: 4.5/5. Price range: ₹5000-₹12000. Features: Restaurant, Rooftop Pool, Business Center, Fitness Center. Timings: Check-in: 12:00 PM; Check-out: 12:00 PM",hotel,The Chancery Pavilion,tell chancery pavilion,0
Where is The Chancery Pavilion located?,The Chancery Pavilion is located at Residency Road; Bangalore - 560025 in Bangalore.,hotel,The Chancery Pavilion,chancery pavilion located,0
What are the timings of The Chancery Pavilion?,The timings for The Chancery Pavilion are Check-in: 12:00 PM; Check-out: 12:00 PM.,hotel,The Chancery Pavilion,timings chancery pavilion,0
How much does The Chancery Pavilion cost?,The price range for The Chancery Pavilion is ₹5000-₹12000.,hotel,The Chancery Pavilion,much chancery pavilion cost,0
