category,name,description,location,rating,price_range,contact,address,features,timings
hotel,JW Marriott,Modern luxury hotel with state-of-the-art facilities,Bangalore,4.8,₹12000-₹40000,080-67189999,24/1; Vittal Mallya Road; Bangalore - 560001,Infinity Pool;Spa;Multiple Restaurants;Fitness Center,Check-in: 3:00 PM; Check-out: 12:00 PM
hotel,Shangri-La Hotel,Elegant luxury hotel offering panoramic city views,Bangalore,4.7,₹11000-₹38000,080-45126100,No 56; Palace Road; Bangalore - 560052,Rooftop Restaurant;Spa;Pool;Fitness Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,The Ritz-Carlton,Sophisticated luxury hotel with elegant design,Bangalore,4.9,₹14000-₹50000,080-49148000,99; Residency Road; Bangalore - 560025,Luxury Spa;Fine Dining;Rooftop Bar;Fitness Center,Check-in: 3:00 PM; Check-out: 12:00 PM
hotel,Four Seasons Hotel,Luxury hotel with world-class amenities,Bangalore,4.8,₹13000-₹45000,080-45222222,8; Bellary Road; Bengaluru; Karnataka 560032,Outdoor Pool;Spa;Fine Dining;Fitness Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Hilton Bangalore,Contemporary hotel with modern amenities,Bangalore,4.6,₹10000-₹30000,080-22555555,Embassy Golf Links Business Park; Off Intermediate Ring Road; Bengaluru; Karnataka 560071,Outdoor Pool;Fitness Center;Dining Options;Business Center,Check-in: 3:00 PM; Check-out: 12:00 PM
hotel,Oakwood Premier,Luxury serviced apartments with hotel amenities,Bangalore,4.5,₹9000-₹25000,080-22386386,MG Road; Bengaluru; Karnataka 560042,Full Kitchen;Fitness Center;Swimming Pool;Business Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Radisson Blu Atria,Modern luxury hotel in central business district,Bangalore,4.8,₹7000-₹15000,080-25585858,Palace Road; Bangalore - 560001,Restaurant;Rooftop Pool;Spa;Fitness Center;Free Wi-Fi,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Sheraton Grand Bangalore,Premium hotel at Brigade Gateway with city views,Bangalore,4.9,₹8000-₹18000,080-42521000,Dr. Rajkumar Road; Malleswaram; Bangalore - 560055,Multiple Restaurants;Infinity Pool;Spa;Fitness Center;Business Center,Check-in: 3:00 PM; Check-out: 12:00 PM
hotel,Four Seasons Hotel Bengaluru,Luxury hotel with elegant rooms and premium amenities,Bangalore,4.9,₹12000-₹30000,080-45222222,Bellary Road; Ganganagar; Bangalore - 560032,Fine Dining;Outdoor Pool;Spa;Fitness Center;Butler Service,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,The Chancery Pavilion,Business hotel with modern amenities,Bangalore,4.5,₹5000-₹12000,080-41414141,Residency Road; Bangalore - 560025,Restaurant;Rooftop Pool;Business Center;Fitness Center,Check-in: 12:00 PM; Check-out: 12:00 PM
hotel,Novotel Bengaluru Techpark,Contemporary hotel near major tech parks,Bangalore,4.6,₹6000-₹14000,080-66545454,Marathahalli Outer Ring Road; Bangalore - 560037,Multiple Restaurants;Swimming Pool;Fitness Center;Business Facilities,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Aloft Bengaluru Cessna Business Park,Modern hotel near business centers,Bangalore,4.5,₹6500-₹13000,080-45101010,Cessna Business Park; Kadubeesanahalli; Bangalore - 560087,Restaurant;Outdoor Pool;Fitness Center;Free Wi-Fi;24/7 Pantry,Check-in: 3:00 PM; Check-out: 12:00 PM
hotel,Vivanta Bengaluru Whitefield,Upscale hotel near tech corridor,Bangalore,4.7,₹7500-₹16000,080-66933333,ITPB; Whitefield; Bangalore - 560066,Multiple Dining Options;Swimming Pool;Spa;Fitness Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Goldfinch Hotel,Business-friendly hotel with comfortable accommodations,Bangalore,4.3,₹4500-₹9000,080-42421000,Crescent Road; High Grounds; Bangalore - 560001,Restaurant;Rooftop Bar;Business Center;Free Wi-Fi,Check-in: 12:00 PM; Check-out: 12:00 PM
hotel,Sterling Mac Hotel,Boutique hotel with modern amenities,Bangalore,4.4,₹4000-₹8000,080-25583333,Koramangala; Bangalore - 560095,Restaurant;Fitness Center;Conference Rooms;Free Wi-Fi,Check-in: 12:00 PM; Check-out: 11:00 AM
hotel,The Park Bangalore,Stylish design hotel with vibrant nightlife options,Bangalore,4.6,₹7000-₹15000,080-25594666,MG Road; Bangalore - 560042,Multiple Restaurants;Nightclub;Spa;Swimming Pool,Check-in: 2:00 PM; Check-out: 12:00 PM
restaurant,Brahmin's Coffee Bar,Iconic South Indian breakfast spot,Bangalore,4.6,₹100-₹200,080-26677588,Ranga Rao Road; Shankarapura; Bengaluru; Karnataka 560004,Idli;Vada;Filter Coffee;Vegetarian,6:30 AM - 12:00 PM
restaurant,Central Tiffin Room (CTR),Famous for its crispy butter masala dosa,Bangalore,4.8,₹150-₹250,080-23674168,7th Cross Road; Malleshwaram; Bengaluru; Karnataka 560003,South Indian;Breakfast;Dosa;Vegetarian,7:30 AM - 12:30 PM; 4:00 PM - 9:00 PM
restaurant,Hotel Empire,Popular chain restaurant serving Indian and Chinese cuisine,Bangalore,4.3,₹400-₹700,080-22241982,36; Church Street; Bengaluru; Karnataka 560001,North Indian;Chinese;Late Night Dining;Tandoor,11:00 AM - 1:00 AM
restaurant,MTR,Historic restaurant serving traditional South Indian food,Bangalore,4.7,₹350-₹600,080-22220022,14; Lalbagh Road; Mavalli; Bengaluru; Karnataka 560004,South Indian;Vegetarian;Dosa;Filter Coffee,6:30 AM - 11:00 AM; 12:30 PM - 2:30 PM; 4:00 PM - 9:00 PM
restaurant,Truffles,Casual dining restaurant popular for burgers,Bangalore,4.5,₹500-₹800,080-22121817,22; St. Marks Road; Bengaluru; Karnataka 560001,Continental;American;Burgers;Pasta,11:00 AM - 11:00 PM
restaurant,The Only Place,Legendary steakhouse serving continental cuisine,Bangalore,4.7,₹1000-₹1500,080-25809366,13; Museum Road; Bengaluru; Karnataka 560001,Continental;Steaks;American;Desserts,12:00 PM - 3:30 PM; 7:00 PM - 11:00 PM
restaurant,Skyye,Rooftop lounge with panoramic city views,Bangalore,4.6,₹2000-₹3500,080-22119898,UB City; Vittal Mallya Road; Bengaluru; Karnataka 560001,Global;Cocktails;Lounge;City Views,12:00 PM - 1:00 AM
restaurant,Rameshwaram Cafe,Popular south Indian restaurant,Bangalore,4.7,₹300-₹500,080-48846565,100 Feet Road; Indiranagar; Bengaluru; Karnataka 560038,South Indian;Dosa;Idli;Filter Coffee,6:30 AM - 11:00 PM
restaurant,Toit Brewpub,Popular microbrewery with craft beers and global cuisine,Bangalore,4.7,₹1200-₹2000,080-25200185,298; 100 Feet Road; Indiranagar; Bengaluru; Karnataka 560038,Craft Beer;Global Cuisine;Live Music;Pizzas,12:00 PM - 1:00 AM
restaurant,Vidyarthi Bhavan,Iconic restaurant serving famous masala dosas,Bangalore,4.8,₹150-₹250,080-26677588,32; Gandhi Bazaar; Basavanagudi; Bengaluru; Karnataka 560004,South Indian;Masala Dosa;Coffee;Vegetarian,6:30 AM - 11:30 AM; 2:00 PM - 8:00 PM (Closed on Fridays)
restaurant,Nagarjuna,Popular restaurant known for authentic Andhra cuisine,Bangalore,4.5,₹500-₹800,080-25591747,Residency Road; Bangalore - 560025,Andhra;Spicy Food;Biryani;Non-Vegetarian,12:00 PM - 3:30 PM; 7:00 PM - 11:00 PM
restaurant,Burma Burma,Vegetarian Burmese restaurant with authentic flavors,Bangalore,4.6,₹1000-₹1600,080-41471111,Indiranagar; Bangalore - 560038,Burmese;Asian;Vegetarian;Tea Room,12:00 PM - 3:30 PM; 7:00 PM - 11:30 PM
restaurant,The Fatty Bao,Asian gastropub with innovative dim sum and bao dishes,Bangalore,4.5,₹1200-₹1800,080-48467171,12th Main; Indiranagar; Bangalore - 560038,Asian Fusion;Dim Sum;Baos;Cocktails,12:00 PM - 3:30 PM; 7:00 PM - 11:30 PM
restaurant,Karavalli,Award-winning restaurant serving authentic coastal cuisine,Bangalore,4.8,₹2000-₹3000,080-66604545,The Gateway Hotel; Residency Road; Bangalore - 560025,Coastal;Seafood;Traditional Recipes;Fine Dining,12:30 PM - 2:45 PM; 7:00 PM - 11:45 PM
restaurant,Grasshopper,Intimate fine dining restaurant with farm-to-table concept,Bangalore,4.9,₹3000-₹5000,080-25594957,Bannerghatta Road; Bangalore - 560083,Contemporary;European;Farm-to-Table;Reservation Only,7:30 PM - 10:30 PM (Reservation only)
restaurant,Meghana Foods,Popular restaurant known for Andhra-style biryanis,Bangalore,4.6,₹600-₹900,080-42093773,Residency Road; Bangalore - 560025,Andhra;Biryani;Spicy Curries;Non-Vegetarian,11:30 AM - 11:30 PM
restaurant,Oota Bangalore,Restaurant showcasing authentic Karnataka regional cuisines,Bangalore,4.5,₹1200-₹1800,080-45174115,Whitefield; Bangalore - 560066,Karnataka;Regional;Traditional;Fine Dining,12:00 PM - 3:30 PM; 7:00 PM - 11:00 PM
restaurant,Byg Brewski Brewing Company,Largest microbrewery in Asia with outdoor seating,Bangalore,4.4,₹1500-₹2500,080-47456565,Hennur Road; Bangalore - 560077,Brewery;Continental;Live Music;Outdoor Seating,12:00 PM - 1:00 AM
